釜山行2：半岛
"上映时间:
              2020-08-12"
"类型:
              动作／惊悚"
唐人街探案2
"上映时间:
              2018-02-16"
"类型:
              喜剧／动作／悬疑"
天气之子
"上映时间:
              2019-11-01"
"类型:
              爱情／动画／奇幻"
第一次的离别
"上映时间:
              2020-07-20"
"类型:
              剧情／家庭"
误杀
"上映时间:
              2020-07-20"
"类型:
              剧情／犯罪"
我在世界城等你
"上映时间:
              2016-05-16"
"类型:
              短片"
釜山行
"上映时间:
              2016-05-13"
"类型:
              动作／惊悚／灾难"
大话西游之大圣娶亲
"上映时间:
              2020-07-24"
"类型:
              喜剧／爱情／奇幻／古装"
少年的你
"上映时间:
              2019-10-25"
"类型:
              爱情／青春／剧情"
寻梦环游记
"上映时间:
              2020-07-20"
"类型:
              动画／冒险／家庭"
战狼2
"上映时间:
              2020-07-20"
"类型:
              动作／战争"
大鱼海棠
"上映时间:
              2020-07-20"
"类型:
              剧情／动画／奇幻"
当幸福来敲门
"上映时间:
              2020-07-20"
"类型:
              剧情／家庭／传记"
风声
"上映时间:
              2020-07-20"
"类型:
              惊悚／剧情／犯罪"
多力特的奇幻冒险
"上映时间:
              2020-07-24"
"类型:
              剧情／奇幻／冒险"
我是大哥大 电影版
"上映时间:
              2020-07-17"
"类型:
              喜剧"
泰坦尼克号
"上映时间:
              1998-04-03"
"类型:
              剧情／爱情／灾难"
喋血战士
"上映时间:
              2020-07-24"
"类型:
              动作／科幻"
流浪地球
"上映时间:
              2019-02-05"
"类型:
              剧情／冒险／科幻"
恐怖电影院2
"上映时间:
              2017-10-20"
"类型:
              恐怖／惊悚"
复仇者联盟4：终局之战
"上映时间:
              2019-04-24"
"类型:
              动作／冒险／奇幻"
何以为家
"上映时间:
              2020-07-24"
"类型:
              剧情"
泰坦尼克号3D
"上映时间:
              2012-04-10"
"类型:
              爱情／灾难／剧情"
纽约唐人街碎尸案
"上映时间:
              1961"
"类型:
              剧情"
毒液2
"上映时间:
              2020-06-25"
"类型:
              动作／科幻／惊悚／恐怖"
美人鱼
"上映时间:
              2020-07-20"
"类型:
              喜剧／爱情／科幻"
哈利·波特与死亡圣器（下）
"上映时间:
              2011-08-04"
"类型:
              奇幻／冒险"
两只老虎
"上映时间:
              2019-11-29"
"类型:
              剧情／喜剧"
冰雪奇缘2
"上映时间:
              2019-11-22"
"类型:
              喜剧／动画／冒险"
哥斯拉2：怪兽之王
"上映时间:
              2019-05-31"
"类型:
              科幻／灾难／动作"
